a 阿啊呵腌嗄锕吖錒
bing 并病兵冰饼屏丙柄秉炳槟禀邴摒㨀屛竝仌綆抦栤掤並靐䋑蛃栟𠊧鈵氷幷梹傡棅䗒偋併昺倂稟寎鵧眪冫廪窉癝餅癛㓈絣枋陃鉼昞怲燹䈂迸䓑苪鞞餠檳琕䴵鮩
bo 百般波播博伯勃薄拨泊柏剥玻驳魄卜脖搏膊饽簸掰舶跛礴菠帛铂钵渤檗钹擘箔趵孛鹁踣亳啵䢪墢㪍瀑鲌挬䪇雹愽鲅葧誖蘗䢌瓟爆敀磻䪬溥碆盋撥㗘郣暴鱍䙏袯袚荸艊蚾䫊鋍艴瓝箥僰泺䑈驋佰嶏䨌踄砵跑㱟簙䞳㖕簿茀䟛餑镈欂䟆䰊䰷壆牔餺䗚柭㙸坺癶菔蹳㑟髆潘浡髉發䟦潑䮀䮂䍨侼䵄蔔猼駁䍸襏駊犻鈸㔜鎛菩发鮊駮襮鮁豰䯋䶈蕃馞繴挀濼馎嶓㶿疈㩧㩭㟑泼㹀彂鵓孹薜㬍䂍悖番嚗礡鑮栢犦㼣哱䬪㬧剝㼎謈䳁䒄蘖鉑懪桲曓䊿㧳蒲缽㝿糪拍䭦㴾白煿譒䭯苩䥬鉢胉
bu 不部布步补捕堡怖卜簿哺埔卟埠钸逋醭晡瓿钚㳍悑䳝䪔蔀咘䬏薄補䪁誧庯㚴䋠䏽吥附㘵鈽䀯䍌纀䒈餢歨歩峬餔溥埗䑰㙛卩惚鳪鮬菩扑䴝鞴㾟轐郶荹㨐䝵鵏捗鈈篰擈䴺䊇佈㻉
ca 擦拆嚓礤磣蔡䵽䟃囃
cai 才采菜财材彩裁猜蔡踩睬㒲犲縩採釆䐆溨倸纔財綵寀䌨䰂婇跴䌽埰䣋䴭䴺㥒棌跐
can 参餐残惨灿惭掺蚕璨孱骖黪粲㘔䘉朁㦧㜗謲穇㱚嬱䏼鰺蠶䍼參薒䳻叄䬫蝅飡㺑傪憯澯燦㨻黲昝䑶㿊㛑喰殘䝳㣓㽩㻮䙁䛹㥇蓡叅摻䅟䗞湌䗝䣟蠺淺驂䫮慚嬠慘慙
cang 藏苍仓沧舱伧倉鶬鑶傖䅮嵢㵴鸧凔蔵仺蒼匨䢢艙㶓螥臧滄獊賶
cao 草操曹糙嘈槽螬艚漕曺澡騲㜖鄵襙造䐬肏愺䒑傮䏆屮䒃撡慥嶆㽩懆䄚慅褿艸㯥鏪蓸
ce 策测侧厕册恻筞矠䔴䇲測䜺栅敇㨲粣溭茦箣畟憡筴厠荝赦遪頙㩍萴拺蓛㥽嫧惻萗笧䈟柵冊䊂側廁
cen 参岑涔㞥䅾梣䨙梫䤁參叅叄嵾篸橬硶㻸埁笒䯔䲋䃡
ceng 曾层蹭噌曽䁬竲碀㣒㬝繒缯䉕嶒層鄫
cha 查察差茶插刹叉诧茬碴喳岔嚓衩杈楂槎檫镲搽锸猹馇汊姹荼𦉆侘挿紁吒䒲詫㛳垞銟咤揷苴靫蹅痄嵖㣾㢉㢎㢒擑䤩肞㤞䰈鑔荖訍剎㫅臿釵扱鍤艖嫅䡨蜡䟕偛詧䁟䊬㪯嗏䆛䶪餷疀䑘扠搋査秅䓭奼䕓䲦
chai 差柴拆豺钗侪虿瘥茝儕犲䘍芆茈蠆靫㳗叉㑪釵䡨齜袃䓱祡囆喍㾹
chan 产单颤缠禅蝉馋铲搀阐掺潺忏蟾婵谄谗廛孱澶冁躔蒇骣觇镡羼儃鄽梴䪜瀍䐮磛囅㺥纏誗㢆瀺䱿䜛纒沾撣䊲顫丳鋋袩僝滻諂劖艬棎䣑嬋驏單饞簅毚掸漸㸥蟬嵼閳灛浐䡪䡲潹啴欃䑎䀡懺㙴㙻酁䩶镵巉襜襝韂禪摻脠䵐嘽摌䴼㦃辿㬄㔆儳鏟覘蕆讇螹蟺䧯㹽繵讒燀讖䠨硟闡㢟攙繟㶣㹌鋓䤘剷䂁鑱渐旵㵌幝䳻剗䴺幨䤫裧產産煘懴鉆㯆䥀惉刬湹苫嚵獑緾譂𤮭
chang 长场常唱厂尝昌肠偿畅倡倘敞怅裳娼猖嫦伥氅徜昶鲳阊菖苌鬯惝瓺錩誯償鲿闛閶锠脹暢塲僘鋹鋿鱨鼚瑺䠆䠀玚膓尙兏瑒琩㙊廠㫤䩨镸䗅萇長㦂倀焻戃嘗韔淌鏛腸厰𢠵淐䕋晿䯴嚐場畼仧悵裮尚鷩鯧甞
chao 超朝潮炒吵抄嘲钞绰巢剿晁焯怊耖謿觘勦趠弨樔鼌巐㷅訬仦縐鄛䬤巣䏚禉綽紹謅䄻轈鼂鈔濤眧罺繛窲煼欩麨䎐仯㶤䰫
che 车彻撤尺扯澈掣坼砗㵔䋲㬚㱌辙徹㨋瞮䨁伡䚢㵃拆蛼勶㔭䤁唓㿭莗䧪䜠䞣屮俥䒆車轍撦䑲㯙呫烲硩硨㾝䛸偖䁤聅㥉詀迠池䰩爡
chen 称陈沉晨沈尘臣趁衬辰郴秤谶琛橙忱嗔伧抻谌宸榇龀碜麎梣䢻瀋䢈磣敐䢅儬儭愖祳㽸捵諶棽㲀軙塵䣅諃賝夦瞋訦䞋莀莐薼縝踸稱䗞藽霃㫳鍖䟢茞䜟趻綝鈂墋蔯趂襯齓螴疢硶疹讖䆣闯迧䫖䤟屒陳齔胂櫬贂䒞謓肜嚫䚘㕴樄煁桭㧱㴴闖曟眈鷐湛
cheng 成城程称承诚盛乘呈撑惩澄秤瞠橙噌逞铛丞骋埕枨塍铖裎酲柽蛏挰庱瀓虰䀕㐼誠竀爯梬峸朾檉窚郢䁎㲂棦泟䁤盯棖撐絾郕撜蟶㨃䞓饓鎗洆憆㞼醒枪椉掁穪琤揨浈稱浾乗牚懲鋮䗊䇸塖侱橕䔲脭澂宬䮪趟脀鐺憕徎䆸頳䆵珹珵晟鏿荿赬䆑槍埥䧕抢悜傖伧㼩騬娍筬睈堘䚘騁塣偁赪搶樘阷䫆靗湞緽䄇
chi 吃持迟尺赤斥池痴齿驰耻翅匙侈哧嗤啻弛蚩炽笞敕叱饬踟鸱褫豉坻墀茌篪傺媸螭彳眵魑瘛離㳏骴蚳瓻翨㢮誺䐤粎恀貾飭竾勅鉹耛歯沱歭飾䪧烾勑䙙㘜䊼䮈㓼㓾杘泜驪蚇㽚㥉岻哆祇滯絺裭郗袳垑喫訵䠠㱀㞴叺㞿䑛瞝熾鉓慗莉䞾鶒鴟踶觢踅乿懘㙜攡黐䗖欼癡鍉䟷㢁欫䰡㢋䈕䰩趩离徲灻㮛嘨倁徥䜄㔭痸趍㔑䜵䜻侙瘈摛茬䔟痓䮻跮齒誃彲彽齝奓治荎扡淔䶔箈箎彨憏㟂㡿馳㶴姼鵄迣䶵恥銐謻𤆍筂饎栻紕抶恜謘䤲䳵蛇㒆鵣芪遫胵糦移拸胣翄赿遲眙䛂噄呞遅汦搋胝佁遟杝䇼呎翤鷘
chong 种重冲充涌崇虫宠憧忡艟茺舂铳蟲蝩徸𢥞沖揰憃漴嘃爞銃痋𣀒䖝䳯橦褈衶茧摏珫樁盅㧤㓽潼桩蹖酮崈䌬翀隀埫㹐罿㓼浺𧘂𠖥寵種衝
chou 抽愁仇丑筹臭酬绸踌瞅惆畴稠雠俦帱瘳㘜躊儔㐜䪮䲖絒䊭盩㛶杽婤簉醻魗醜牰嬦丒㨶薵䛬杻詶椆臰酧㤽菗懤霌侴焘怞鈕篘吜䔏㿧綢㦞矁籌雔讎讐燽燾疇殠犨㵞嚋栦犫皗紬幬𢭆謅裯䌧䥒䇺䌷偢䓓搊搐鯈
chu 出处除初楚触储础厨畜躇橱雏矗怵锄杵搐绌黜褚蜍蹰刍滁楮憷亍樗貙麆儊竐耡㘜歜櫥躕竌鄐著儲處耝雛敊䊰諸䅳䙘䙕泏蒭檚岀滀蒢䦌絮祝絀鋤䠧踀荲䖏䠂𦷝觸䟞琡豖㙇椘廚詘䜴欪藸䟣臅㜗鶵䮞処篨趎㔘禇䎤㗰蕏俶㹼硫㶆斶淑䧁齼槒濋齣䎝㡡齭櫉閦傗曯㼥犓芻幮㤕㤘礎斣鉏㕑拀遚㕏
chuai 揣啜踹嘬膪搋䦟䴝蹉䦷㱀膗腄㪜㪓䦤
chuan 传穿川船串喘舛遄舡巛氚椽钏篅㼷圌歂瑏玔伝傳舩輲汌暷釧荈諯腨㯌㱛堾僢䁣賗
chuang 创窗床闯幢疮怆創葱戧摤舂漺㵂瘡剙䚒橦摐剏刱㡖䎫窓䡴闖磢䆫䭚獊牕窻噇䃥囱䇬刅囪牀疒牎撞愴
chui 吹垂炊锤捶陲椎槌棰鎚篅魋顀圌倕腄䞼䍋龡䳠搥䄲桘㥨埀湷郵㝽㓃箠錘䕓㩾菙
chun 春纯唇蠢醇淳椿鹑蝽莼䏛㖺䞐肫媋輇櫄睶芚堾旾橁純蒓沌㸪䮞膥醕鰆㿤漘䦮踳鶉䐇䔚䏝錞㵮鶞輴陙䣨䣩惷萶偆䐏䫃䥎㝇湻㝄暙䄝鯙浱箺膞䓐憌蓴杶脣滣萅
chuo 绰戳啜辍踔龊娖躇㚟逴趠簇犳醊䮕蔟䍳鎈缀䂐嚽辵辶擉磭䋘醛踱綽鑡歠涰諁惙齪珿䇍䄪䆯䃗淖鏃荃齱輟腏㲋齹婼䓎婥綴酫畷焯繛
ci 此次词差刺辞慈磁赐瓷兹茨伺雌祠疵呲鹚糍茈骴㘂㢀庛㘹飺粢朿郪㓨滋泚絘䲿蚝賜䨏薋䖪訾玼莿嵯㠿㞖薺玆嵳蠀柌䗹佽餈䰍詞䈘髊垐辝茊鶿䦻趀茲辤趑辭濨䧳㩞㡹珁㹂䯸螅螆䆅恣跐皉䳐礠㤵䳄䂣蛓秶刾嬨赼䓧偨䭣甆鷀䛐佌紪
cong 从匆聪丛葱囱琮淙枞苁骢璁縱叢縦繱㼻漎灇瑽緫聡瞛謥蔥憁従怱徖驄爜䳷從𤧚䉘悤焧篵慒蟌錝漗賩藂窼樅窗賨暰鏓窓聦騘欉潀䕺悰鍯䆫鏦聰忩樬牕誴孮蓯鍐婃囪棇牎樷㗰燪
cou 凑楱辏腠趨族藪湊簇傶㫶蔟揍輳趣
cu 促粗簇醋卒猝蹴蹙徂殂蔟酢瘄瘯麄数麁縬錯趣觕數错顣鼀趨脨趋縐麤䬨憱梀䠓皶䠞塶㤘趗䥘䛤䟟槭䃚䢐踧䥄㗤㰗䓚䎌殧䙯蹵噈豠
cuan 攒窜篡蹿撺镩汆爨鑹㠝㵀巑櫕簒躥㸑䞼熶竄䰖鋑攢濽㭫䆘攛蹲劗殩
cui 脆衰粹催摧崔萃翠瘁悴璀隹淬毳榱啐洒缞趡顇倅膵竁䢪漼㵏㷃㱖䔴焠紣鏙㧘㷪踤磪凗竴皠伜墔縗脃綷崒忰㯔膬㯜䃀脺嗺槯㳃䊫翆䧽啛䄟疩䂱臎㝮䆊崪㥞琗粋慛獕橇
cun 存村寸蹲忖皴邨刌踆拵浚澊䍎墫吋袸壿籿
cuo 错措搓挫撮磋蹉矬嵯脞痤瘥鹾厝锉莡鄼䠡䱜䟶摧䐤䐣逪瑳躦侳醝歵銼睉縒錯虘䂳莝嵳䥘營齚蓌剉剒蒫㽨遳䰈齰㭫㟇蔖昔䑘䣜䴾鹺
da 大打达答搭塔瘩嗒沓耷褡鞑笪靼怛妲哒疸畣鎝溚韃蟽㜓薘墶觰䳴䵣褟㿯羍箚畗躂炟䐊鐽迖噠逹荙呾䑽㯚搨繨汏㟷㾑跶荅䃮酂劄詚眔䩢胆匒達撘㙮酇
dai 大代带待戴袋呆贷逮歹殆黛怠玳岱迨傣呔骀绐埭甙㿃毒㞭駘䒫㐲逯紿瀻遝襶軑歺瑇軩簤䲦遞𦄂靆騃曃嘚䚟䚞蝳递霴汏懛跢艜柋軚㯂帒隶叇箈蹛馱貸詒㻖載轪獃䈆釱帶廗黱棣帯緿㫹㶡
dan 但单担石弹淡旦蛋胆诞丹耽惮眈啖澹掸殚箪瘅赕疸聃氮萏郸儋勯舕鄲耼䉷瓭䱋誕躭㺗䉞媅衴唌撣撢钽聸檐僤㲷澶㽎亶餤膻膽憚單蟺鴠簞狚饏玬訑憺䨢㱽䨵単砃潬潭詹癉觛啿髧黕霮㫜匰癚柦䩥黮酖黵啗妉襌弾澸駳䮰㔊覘燀㡺疍馾㗖腅殫彈窞暺㵅䳉紞伔贍贉擔嚪甔噡惔赡頕帎䄷䭛㕪沊䃫刐噉禫蜑鉭湛蜒
dang 当党荡档挡裆铛宕凼菪谠砀蟷𨎴碭澢儅瞊瘍蘯瓽趤䦒攩當筜圵雼垱玚擋嵣珰愓襠簹鐺氹瑒灙礑欓燙䣣逿盪噹簜偒璫闣檔璗䑗䣊婸譡黨壋蕩艡讜潒
dao 到道导倒岛刀悼盗蹈捣祷叨稻焘忉帱氘纛擣幍軇梼㿒衜菿㠀魛島㔑瓙幬鳥舠㨶禂裯䮻洮濤䧂嶋嶌䌦䣣導捯噵盜陶隯䊭鱽釖翿䲽檮稲燾檤嶹搗壔刂朷禱衟隝䆃
de 的地得德底锝徳墬㤫陟嘚㯖淂鍀䙸㥁㥀㝶㝵䙷恴惪登
dei 得哋䮻
deng 等登灯邓凳瞪澄蹬噔磴戥镫簦嶝櫈䠬橙䒭墱鄧鐙朩䮴嬁隥豋霯僜燈眙璒覴𤃶竳
di 的地第提底低帝弟敌抵递滴迪蒂堤笛缔涤嘀诋谛狄邸睇嫡翟砥娣棣荻羝坻柢觌骶氐绨镝碲籴敵隶墬㢩㪆媞虳蹄䱃蹏梑杕䱱唙楴墑䢑梊埊磾祶僀滺题滌袛䑭䑯泜慸䊮䣌隄肑軧㭽聜哋䲦觝坔䨀㣙弤靮䞶踧䨤䨢嵽摕踶䏑掋莜菧鬄牴潪藋廸浟㰅坘髢䩚啲偙蹢嶳菂糴揥鍉啇豴藡詆禘䀸䟡逓㦅怟蔋蔕茋蔐蝃逮焍諦䮤逐赿䵠趆䍕篴䶍鞮籊釱埞鏑䀿墆埅腣珶奃螮馰䗖覿㡳䯼疐㹍䧝題約㼵芍鸐嚁仢䂡䩘仾渧旳適頔玓苐苖樀阺䴞眡遰呧軑締轪甋胝遞拞鉪
dia 嗲
dian 点电店典颠甸淀垫殿滇奠惦掂碘癫巅踮佃玷簟阽坫靛钿癜丶涎電傎㵤橂㼭痶顛顚巓驔巔扂嵮䍄鈿㚲敟瘨墊㸃敁痁㞟沾㝪澱蕇㶘厧婝壂㥆琠㓠蹎奌䧃攧䟍䓦嚸蒧點拈婰槙磹齻䩚癲琔槇蜓蜔
diao 调掉鸟吊雕刁钓凋叼貂碉铫铞鲷䳝䠼趙矵調錭虭敦瞗踔銱㪕銚魡鼦䂪㒛䉆蛁弔竨䔙䂽鮉伄訋䵲瘹奝汈稠蜩跳䄷誂㹿盄窎䄪綢釣𨍳鵰琱彫釕鯛蓧扚窵鋽莜軺殦藋钌鑃鳭鳥屌
die 爹跌叠迭碟谍蝶喋佚踮牒耋蹀堞瓞揲垤鲽䲀峌耊墆楪䘭䪥㭯艓窒㲲㲳諜㥈絰軼聑㩸䞕𢶣䞇䏲踢嵽䠟臷至㻡鳎攧跕柣㑙詄㫼啑绖涉挕㦶㷸䮢趃戜鐵跮螲殜恎疊疉㩹鰨氎畳咥渉曡䳀䳻㬪鰈镻渫牃蜨眰昳䴑眣褋褶惵褻褺苵胅轶
ding 定订顶丁盯钉鼎叮町铤腚酊仃锭疔啶玎碇耵娗錠鼑矴庰葶靪鐤薡㼗訂嵿磸顁饤帄㫀𪔂汀頂㝎檙椗飣婈鋌碠奵濎㴿艼釘𩠑㝪忊
diu 丢铥丟銩颩
dong 动东懂冬洞冻董栋咚恫侗氡硐鸫岽垌峒胨胴墥㨂鼕㢥峝挏㜱㼯嬞䍶腖㖦筒箽䵔衕氭䂢蝀娻駧蕫戙䅍凍涷動倲昸働湩甬筩鶇眮酮㗢䞒笗鯟菄㑈㓊霘崠棟諌苳埬崬東
dou 都读斗豆抖逗兜陡窦蔸蚪篼痘鬭吺脰逾䬦渎枓㞳梪瀆荳兠鈄㷆橷枡饾唞㨮敨閗毭竇闘㪷讀䛠㛒餖阧䇺鋀钭䕱唗鬦鬥㢄鬬鬪䕆窬䄈浢郖
du 都读度独顿毒督渡肚杜睹堵赌妒嘟渎笃牍镀犊黩髑椟芏蠹䪅読瀆竇䐗竺儥錖瓄䀾賭䫳碡䙱㓃暏鍍䲧喥㸿䢱靯簬㱩閬嬻簵醏琽鍺豄匵䟻蠧牘䈞黷橐韥韣涜蝳詫凟韇篤䅊䮷妬襡纛讀㾄闍厾殰螙荰斁覩殬㹍騳讟櫝陼犢鑟裻皾贕頓獨秺䓯阇䄍帾
duan 断段短端锻缎煅椴簖媏葮腶䠪躖鍛毈剬㱭瑖耑㫁鍴斷褍緞踹籪塅碫偳
dui 对队堆兑敦碓憝怼镦䔪㠚㨃隊垖憞陮鐓磓懟痽㳔濧綐鐜銳㵽㬣兌䨺兊薱䨴䬽瀩䬈塠锐䇏㙂對𠂤轛濻桘䇤錞㟋追嵟槌譈頧祋対鋭䯟
dun 顿盾吨敦蹲钝炖遁盹沌囤墩趸镦礅砘䤜惇躉墪鈍庉犜燉踲㬿𣎴伅腞頓豚鶨扽遯逇弴撴噸潡蜳驐鐓撉崸蹾
duo 多度夺朵躲舵堕踱咄跺哆剁惰垛驮掇铎裰哚缍沲柁䐾墮墯鄲澤剟敠锗敪杕敓敚沱躱錞㛊挅挆棰䙟軃㥩㛆䫂䁟䑨䙃䯬隋䙤䍴泽袳㖼䠤垜㙐毲饳莌夛飿㣞柂鬌崜㻧亸䩔鍺𥞛點㻔柮椯䩣𢜬痥徳鮵憜綞凙䅜橢痑鈬㔍鐸茤跥嶞趓馱埵襗奲奪朶炧䒳炨嚉剫悳陀陏嚲陊䤪䤻刴㧷桗媠尮䄍鵽
e 阿额俄恶饿哦鹅扼愕遏噩娥峨呃厄鄂讹婀蛾轭颚鳄锷谔屙锇阏垩腭苊鹗萼莪磀貖圔儑峉誐歹鰐蕚䱮峩婐䑥钶隲邑㓵䑪岋蚅䫷哑㷈鱷齶僫䙳䣞囮隘戹鋨軶㖾堮㠋䖸卾枙魥魤訛豟砐㱦胺玀軛閼䞩詻琧餓蘁誒崿啞鬲䩹餩額㮙鈋吪䔾痾㔩涐妸㦍堨妿鈳蝁鶚猗迗㟧遌鑩讍㡋齃硪䝈珴諤疴嶭䕏䆓㗉覨鵝㩵鵞㗁硆顎䳘䳗㼰咹蛤咢皒㼢譌堊櫮娿睋䳬悪騀㼂鍔搤阨頞頟阸遻搹偔噁呝湂䛖惡䄉䓊㕎㧖
ei 诶欸誒
en 恩摁蒽䊐䭡䅰煾䭓䬶奀
er 而二儿尔耳迩饵洱鸸珥铒鲕贰佴唲鴯㮕邇鉺爾輀峏咡樲栭䋙儞䮘洏濡侕鮞栮耏袻弐児渳兒眲㒃貮㜨誀薾㖇䏪䋩㧫刵䎠髵毦胹尒隭尓轜餌䎶衈荋䌺䣵弍貳㛅駬聏腝臑檽㢽㚷䎟陑
fa 发法罚乏伐阀砝筏垡珐瞂栰佱閥橃髪䒥㳒傠茷㘺沷䂲拨撥䇅藅㕹疺灋琺䣹姂蕟泛髮罸㛲罰彂發発
fan 反饭犯翻范凡烦返番贩繁泛帆藩幡梵樊燔蕃畈钒蘩矾蹯墦㳎勫䀀䪛飜䀟鄤瓪䐪瀿飯䉊盕㺕舧䪤瀪飰䉒杋㽹鱕棥璠䊩軓䣲䫶滼軬僠軡袢颿嬎嬏觙膰蟠襎薠魬㠶旙旛訉㸋憣柉蠜䡊潘鐇範羳凣凢橎䮳販㕨㶗䕰籓釩奿㾱籵繙犿畨䋦䋣䒠礬䒦㼝㤆仮氾汎鷭㴀緐㝃笲轓噃䛀忛䌓拚䭵煩笵
fang 方放房访防仿芳妨纺彷坊肪舫钫鲂邡枋䦈訪鈁瓬紡䢍鴋䉊㤃昘倣魴鶭鰟㯐鳑髣牥埅㕫淓蚄㧍䲱㑂旊匚汸昉趽眆
fei 非费飞废肥啡沸菲肺匪诽腓扉吠霏绯妃斐翡蜚痱淝悱鲱篚芾狒镄榧䉬朏誹飛飝䀟墢費棐婓郿㥱䑔㭭賁㓈蟦砩㸬䞳䠊靟䨾䨽靅鼣髴祓癈䰁廢杮䈈萉餥廃䍨㔗茷鐨猆奜䕠俷㩌濷疿蕜蕟䕁㹃䆏馡㾱厞屝㵒䚨陫贲渄騛裶裴櫠騑䤵䒈曊紼胇緋昲剕鯡蜰䛍胏
fen 分份纷奋愤粉氛芬坟焚粪忿吩汾棼鼢玢酚偾瀵鲼朌歕朆雰墳䀟䢍衯魵鱝蚡蚠颁蒶䯨岎㥹賁膹僨盼饙㖹㸮兝梤訜砏憤㱵弅黂糞棻坆坋鳻餴㻞豶䩿豮黺鼖鈖㿎㷊羵羒㮥妢鐼燔枌燓馚燌𦐈橨濆蕡奮馩肦贲紛炃幩頒隫䴅帉轒翂昐拚秎獖
feng 风封丰峰疯锋逢奉缝凤讽冯蜂枫烽俸砜唪酆葑沣飌鄷瘋楓沨麷峯䙜鋒縫諷艂賵檒泛風蚌盽渢碸漨鴌䏎莑熢靊豐豊蘴灃䩬僼浲蠭鳳䟪鳯捀篈䵄猦綘凨凮凬㦀逄焨摓妦㡝方崶覂馮鏠堼堸鵬䩼犎㵯氾仹桻汎甮偑夆煈赗寷湗
fo 佛仏㤇坲
fou 否缶缹殕缻剻䳕䬏哹雬椱紑不裦鴀芣竎復
